doc_id,agreement_id,sentence_number,entity,entity_type,org_correction,corrected_entity_org,entity_correction,entity_abr
5,1545,51, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,51, JMC - S. , ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,52, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
5,1545,52, JMC - S., ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,53, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,55, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,57, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,58, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
5,1545,60, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,62, JMC, ORG ,Joint Monitoring Committee (JMC),ORG,Joint Monitoring Committee (JMC),JMC
5,1545,64, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,66, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,68, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,68, JMC - S., ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,69, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,72, JMC - S, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,72, JMC - U.  Meetings Resolutions, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,73, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,75, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,76, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,78, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,82, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,84, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,86, JMC - U, ORG ,Union Level Joint Ceasefire Monitoring Committee (JMC-U),ORG,Union Level Joint Ceasefire Monitoring Committee (JMC-U),JMC-U
5,1545,87, Joint Ceasefire Monitoring Committee, ORG ,Joint Ceasefire Monitoring Committee (JCMC),ORG,Joint Ceasefire Monitoring Committee (JCMC),JCMC
5,1545,87, JMC - S, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
5,1545,88, JMC - S, ORG ,State Level Joint Ceasefire Monitoring Committee (JMC-S),ORG,State Level Joint Ceasefire Monitoring Committee (JMC-S),JMC-S
